plant_type,infection_short_name,infection_full_name,severity_level,visible_symptoms,treatment_description,biological_control,chemical_control,prevention_steps
Cucumber,Anthracnose,Anthracnose (Colletotrichum spp.),High,Blackened necrotic lesions on ripe fruit under warm humidity,On Cucumber: Harvest carefully; remove infected fruit; apply labeled anthracnose fungicide,Bacillus foliar programs during fruiting,Rotate QoI / SDHI / multi-site fungicides labeled for anthracnose,Remove mummified fruit; clean harvest containers
Pepper,Anthracnose,Anthracnose (Colletotrichum spp.),Low,Sunken circular fruit lesions with salmon-colored spore masses,On Pepper: Reduce fruit wetness and begin protective sprays on ripening crop,Biological protectants on flowers and young fruit,Protect ripening fruit ahead of humid spells,Remove mummified fruit; clean harvest containers
Strawberry,Anthracnose,Anthracnose (Colletotrichum spp.),High,Blackened necrotic lesions on ripe fruit under warm humidity,On Strawberry: Reduce fruit wetness and begin protective sprays on ripening crop,Cultural sanitation plus soft biologicals,Protect ripening fruit ahead of humid spells,Use drip irrigation and adequate plant spacing
Tomato,Anthracnose,Anthracnose (Colletotrichum spp.),Critical,Blackened necrotic lesions on ripe fruit under warm humidity,On Tomato: Reduce fruit wetness and begin protective sprays on ripening crop,Biological protectants on flowers and young fruit,Follow PHI closely near harvest,Remove mummified fruit; clean harvest containers
Pepper,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),High,Unilateral leaflet necrosis and open stem lesions,On Pepper: Remove infected plants entirely; sanitize greenhouse thoroughly,Sanitation-first approach with optional soft biologicals,No systemic curative bactericide for canker,Certified seed; hot-water seed treatment where recommended
Tomato,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),High,Marginal leaf scorch with vascular discoloration,On Tomato: Isolate affected rows and replace contaminated media if needed,Limited options; beneficials support plant resilience only,No systemic curative bactericide for canker,Strict tool hygiene; avoid plant-to-plant sap transfer
Cucumber,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Water-soaked leaf spots becoming necrotic with yellow halos,On Cucumber: Sanitize benches and reduce humidity spikes after irrigation,Bacillus antagonists and induced-resistance products,Fixed-copper bactericides on a preventive humid-weather schedule,Disease-free seed/transplants; minimize splash
Lettuce,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),High,Small dark foliar spots spreading after splash irrigation,On Lettuce: Stop working wet plants; remove infected leaves; apply labeled copper program,Phyllosphere beneficial sprays preventively,Avoid phytotoxic overuse; follow greenhouse crop labels,Disinfect tools between plants; keep walkways dry
Pepper,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Pepper: Sanitize benches and reduce humidity spikes after irrigation,Copper-alternative biologicals labeled for bacterial diseases,Fixed-copper bactericides on a preventive humid-weather schedule,Disinfect tools between plants; keep walkways dry
Strawberry,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Strawberry: Sanitize benches and reduce humidity spikes after irrigation,Phyllosphere beneficial sprays preventively,Rotate with biologicals to reduce copper load,Avoid dense wet canopies overnight
Tomato,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Water-soaked leaf spots becoming necrotic with yellow halos,On Tomato: Stop working wet plants; remove infected leaves; apply labeled copper program,Bacillus antagonists and induced-resistance products,Avoid phytotoxic overuse; follow greenhouse crop labels,Disinfect tools between plants; keep walkways dry
Pepper,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Sudden irreversible wilt; milky bacterial ooze from cut stems,On Pepper: Uproot and destroy infected plants; restrict water movement between zones,Biological soil health programs to reduce pathogen fitness,Follow regional quarantine and disposal guidance,Scout for early wilt and remove promptly
Potato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Medium,Rapid plant collapse without major leaf spotting,On Potato: Uproot and destroy infected plants; restrict water movement between zones,Biological soil health programs to reduce pathogen fitness,Follow regional quarantine and disposal guidance,Sanitize irrigation and worker pathways
Tomato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Sudden irreversible wilt; milky bacterial ooze from cut stems,On Tomato: Sanitize tools/boots; isolate bay; do not compost symptomatic material,No strong curative biological; emphasize exclusion,No reliable curative bactericide; copper has limited effect,Certified clean planting material; avoid infested media
Pepper,Blossom End Rot,Blossom End Rot (calcium translocation disorder),High,Fruit lesions linked to irregular irrigation and high VPD,On Pepper: Stabilize irrigation; correct Ca supply and K:Ca ratio,Not a pathogen — biologicals are supportive only,Adjust fertigation salts; not a fungicide problem,Avoid excess ammonium nitrogen during fruiting
Strawberry,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Distal fruit necrosis despite adequate soil calcium,On Strawberry: Stabilize irrigation; correct Ca supply and K:Ca ratio,Root-health biologicals to improve Ca uptake consistency,Adjust fertigation salts; not a fungicide problem,Even irrigation; adequate soluble calcium in recipe
Tomato,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Sunken dark leathery patches on fruit blossom end,On Tomato: Remove affected fruit and normalize root-zone moisture,Root-health biologicals to improve Ca uptake consistency,Foliar/fruit calcium sprays as a temporary aid if labeled,Maintain stable daytime VPD
Cucumber,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,Stunting with distorted younger leaves,On Cucumber: Remove infected plants; suppress aphid vectors immediately,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",Aphid management products if thresholds exceeded,Worker hygiene between bays
Lettuce,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,Chlorotic mosaic and reduced marketable yield,On Lettuce: No curative spray — focus on vector and rogueing,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",No viricide available for CMV,Virus-free seedlings; remove weed reservoirs
Pepper,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,"Severe mosaic, leaf shoestringing, and fruit mottling",On Pepper: No curative spray — focus on vector and rogueing,Banker plants for sustained aphid biocontrol,No viricide available for CMV,Worker hygiene between bays
Tomato,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,"Severe mosaic, leaf shoestringing, and fruit mottling",On Tomato: No curative spray — focus on vector and rogueing,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",Aphid management products if thresholds exceeded,Virus-free seedlings; remove weed reservoirs
Cucumber,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Medium,Angular yellow lesions above; gray-purple sporulation beneath leaves,On Cucumber: Increase night ventilation and start protectant/systemic rotation,Cultural drying + soft biologicals at first symptoms,Rotate CAA / QoI / multi-site products per extension guidance,Irrigate mornings only; sanitize after outbreaks
Lettuce,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Medium,Angular yellow lesions above; gray-purple sporulation beneath leaves,On Lettuce: Increase night ventilation and start protectant/systemic rotation,Cultural drying + soft biologicals at first symptoms,Protectants ahead of cool humid nights,Irrigate mornings only; sanitize after outbreaks
Strawberry,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,"Rapid blighting of young tissue in cool, humid nights",On Strawberry: Quarantine affected rows and tighten dehumidification cycles,Phosphite-compatible biological programs where labeled,Rotate CAA / QoI / multi-site products per extension guidance,Resistant cultivars when available; scout leaf undersides
Tomato,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),High,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Tomato: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Protectants ahead of cool humid nights,Avoid leaf wetness; improve horizontal airflow
Pepper,Early Blight,Early Blight (Alternaria solani),Medium,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Pepper: Sanitate fallen debris and treat remaining canopy preventively,Bacillus-based biofungicides and compost teas where permitted,Apply protectants before extended humid periods,Start with disease-free transplants and sanitize benches
Potato,Early Blight,Early Blight (Alternaria solani),Low,Target-spot concentric rings on older leaves; yellowing and defoliation,"On Potato: Improve nitrogen balance, prune for airflow, and begin protectant sprays",Biological protectants in rotation with cultural controls,Rotate chlorothalonil / mancozeb-class and labeled SDHI products,Avoid prolonged leaf wetness; balance fertility
